"(-1.5094352844461807, 53.83737653377333)"
"panel_lon_lat"
"(-1.5462738791614263, 53.79868077210879)"
"(-1.544668740109747, 53.79903547419848)"
"(-1.5417521231693208, 53.798727476654406)"
"(-1.5414563977630347, 53.798676985253735)"
"(-1.5398705451508956, 53.79880826289548)"
"(-1.5388547139740618, 53.79866310011855)"
"(-1.538713280084099, 53.798621444713)"
"(-1.5387004224577387, 53.798579789307446)"
"(-1.5388997156663229, 53.79855201903708)"
"(-1.5389361456076769, 53.79848006879113)"
"(-1.538668278391838, 53.79841947911033)"
"(-1.5385847038204963, 53.798408118545176)"
"(-1.5388032834686207, 53.798371512279694)"
"(-1.5387539959009064, 53.798400544835076)"
"(-1.5387454241499996, 53.798317234023976)"
"(-1.5367159834284316, 53.79832354544906)"
"(-1.5346308263259691, 53.79917053869527)"
"(-1.5348472630363668, 53.79908849016918)"
"(-1.5347551167141182, 53.799049359333665)"
"(-1.5315877760596668, 53.798996343362965)"
"(-1.5315963478105736, 53.798930704542094)"
"(-1.5467581830876629, 53.800282625165224)"
"(-1.5467260390217623, 53.80020183892415)"
"(-1.5467324678349423, 53.800071823567436)"
"(-1.5467217531463089, 53.79989889052015)"
"(-1.5399241185940635, 53.80016523265867)"
"(-1.541032017398773, 53.79959720440115)"
"(-1.5405991439779774, 53.799573220985835)"
"(-1.5459910113815005, 53.80125586028334)"
"(-1.544062288733088, 53.80129499111886)"
"(-1.5394548152319139, 53.80170902060434)"
"(-1.5389532891094906, 53.80166736519879)"
"(-1.5390411495562857, 53.80162192293819)"
"(-1.537616095968023, 53.80144141618079)"
"(-1.5375068061439607, 53.80141490819545)"
"(-1.5376953846639114, 53.80138335107003)"
"(-1.537579666026669, 53.80092135475391)"
"(-1.5371852867905813, 53.80084435536789)"
"(-1.5317077805723627, 53.80084435536789)"
"(-1.5460745859528422, 53.80281605793423)"
"(-1.5425085801868497, 53.80292082759061)"
"(-1.5425171519377565, 53.802904417885394)"
"(-1.5426007265090982, 53.802739058548205)"
"(-1.5426264417618187, 53.80269866542767)"
"(-1.5425750112563776, 53.80271381284788)"
"(-1.5388204269704344, 53.802164718865605)"
"(-1.5357516614514117, 53.80290694245543)"
"(-1.5356616580668898, 53.80286150019483)"
"(-1.5336729331621293, 53.80213063717015)"
"(-1.5337929376748252, 53.802111702894905)"
"(-1.5447115988642812, 53.803761522781976)"
"(-1.5369988512083574, 53.804223519098095)"
"(-1.5319156455318537, 53.80422856823816)"
"(-1.538083256392446, 53.804911477802435)"
"(-1.5362852529453628, 53.804815544141164)"
"(-1.534416532553298, 53.80474359389521)"
"(-1.5343736737987639, 53.80472970876003)"
"(-1.5456545701584068, 53.806225529875064)"
"(-1.545615997279326, 53.80617882532944)"
"(-1.545868863931078, 53.806115711078604)"
"(-1.545817433425637, 53.80607658024309)"
"(-1.5459631531910532, 53.80606774424797)"
"(-1.5460745859528422, 53.806017252847305)"
"(-1.5459267232496992, 53.80602103970235)"
"(-1.535046556244951, 53.80646788859827)"
"(-1.534860120662727, 53.80645652803312)"
"(-1.5406334309816048, 53.80713565074234)"
"(-1.5376739552866443, 53.80774407212039)"
"(-1.5362938246962696, 53.80747646769685)"
"(-1.5752582923307843, 53.829201882413486)"
"(-1.5712165543894618, 53.82889388486941)"
"(-1.5681969977437806, 53.82924984924412)"
"(-1.568683444607744, 53.829023900226126)"
"(-1.5662961332858152, 53.828537920494696)"
"(-1.577388451125508, 53.829758563476084)"
"(-1.5752218623894303, 53.83004510217488)"
"(-1.5682934299414826, 53.83036698485414)"
"(-1.566669004450263, 53.829995873059225)"
"(-1.5640116829747686, 53.83059672072718)"
"(-1.5785884962524661, 53.83120894233052)"
"(-1.5712422696421824, 53.83167725007172)"
"(-1.5702071520258083, 53.83127458115139)"
"(-1.570112862765833, 53.831191270340284)"
"(-1.5631887948877117, 53.83130487599179)"
"(-1.5714951362939344, 53.83305062954013)"
"(-1.5714865645430276, 53.83265805889994)"
"(-1.5703828729193985, 53.83295595816388)"
"(-1.5660518383849702, 53.832257914549636)"
"(-1.5632209389536122, 53.832265488259736)"
"(-1.5673462514662764, 53.83435963247269)"
"(-1.567416968411258, 53.83435205876259)"
"(-1.5683620039487374, 53.8341715520052)"
"(-1.5678134118906994, 53.834080667484)"
"(-1.5754104409093808, 53.83547171894265)"
"(-1.5703464429780445, 53.835185180243855)"
"(-1.568209855370141, 53.835623193144656)"
"(-1.568632014102303, 53.83512206599302)"
"(-1.5660454095717902, 53.83514983626339)"
"(-1.5660989830149579, 53.8351359511282)"
"(-1.569980000626777, 53.83635154496953)"
"(-1.5666218598202752, 53.836567395707384)"
"(-1.572060871853786, 53.83759869593627)"
"(-1.5637845315757373, 53.837969807731184)"
"(-1.5636259541839608, 53.83744091030918)"
"(-1.563355944030395, 53.83730710809741)"
"(-1.4639539071016188, 53.80919445097485)"
"(-1.4581055939623062, 53.8090997795986)"
"(-1.4620016121382122, 53.809640050955984)"
"(-1.4601093194311536, 53.8102535214741)"
"(-1.4540788565850709, 53.81013739125257)"
"(-1.4625931416451574, 53.81088089049764)"
"(-1.461922323442324, 53.81155621298158)"
"(-1.4622459070390572, 53.81127346113784)"
"(-1.4529409566521874, 53.81147290217048)"
"(-1.453840990497406, 53.81282229822357)"
"(-1.4537617018015176, 53.81236156419248)"
"(-1.4672884755931266, 53.815084339713984)"
"(-1.4548353922969726, 53.815172699665155)"
"(-1.4551525470805258, 53.81501365175305)"
"(-1.4557054250140171, 53.81494801293218)"
"(-1.4674213377321825, 53.81601339485652)"
"(-1.4611337223588943, 53.81626711414488)"
"(-1.4590121353150778, 53.81660666881437)"
"(-1.4595757279372028, 53.81659909510427)"
"(-1.4591064245750531, 53.816539767708484)"
"(-1.4595007251167678, 53.816530931713366)"
"(-1.4591021386995997, 53.81644762090227)"
"(-1.4594964392413143, 53.816442571762195)"
"(-1.4590057065018975, 53.81634158896086)"
"(-1.4575012855233738, 53.81673794645611)"
"(-1.457224846556628, 53.81645393232735)"
"(-1.467877783467972, 53.817636706758236)"
"(-1.467871354654792, 53.81725297211316)"
"(-1.4622030482845232, 53.817636706758236)"
"(-1.4592242861500222, 53.81753446167188)"
"(-1.4578805855010015, 53.818009080838166)"
"(-1.4582234555372753, 53.817653116463454)"
"(-1.4577541521751256, 53.81761272334292)"
"(-1.4567191132531243, 53.81755718280218)"
"(-1.4579020148782686, 53.81742464287543)"
"(-1.4562197300684279, 53.81753824852694)"
"(-1.455795428398539, 53.81725423439818)"
"panel_lon_lat"
"(-1.4271068193298395, 53.82939374973602)"
"(-1.4285618740462762, 53.82895826140526)"
"(-1.428148287065021, 53.829875955982644)"
"(-1.4258788373180613, 53.830002184484314)"
"(-1.428356152024512, 53.83166210265152)"
"(-1.427734700083766, 53.831229138890784)"
"(-1.426393142372472, 53.83102338643306)"
"(-1.4263909994347452, 53.8329193518984)"
"(-1.4264852886947206, 53.832475027572514)"
"(-1.4219613897648882, 53.83306072782027)"
"(-1.4247751456944324, 53.83558280002412)"
"(-1.4241815519441334, 53.83753810625547)"
"(-1.4236715327651763, 53.83736138635313)"
"(-1.591583821487851, 53.84913736360615)"
"(-1.5923359926299265, 53.848775087806345)"
"(-1.592110984168622, 53.848722071835645)"
"(-1.589340086993612, 53.84987960056621)"
"(-1.584126083421406, 53.850467825383994)"
"(-1.57893358792084, 53.85068115155182)"
"(-1.5802322081832265, 53.85166322266505)"
"(-1.593628262773506, 53.85257965495742)"
"(-1.5913952429679006, 53.85250391785642)"
"(-1.5889757875800712, 53.85365008602182)"
"(-1.579777905385164, 53.85395177214082)"
"(-1.5936839791544006, 53.85582501647585)"
"(-1.5851054846568857, 53.85583890161103)"
"(-1.5851997739168608, 53.855826278760865)"
"(-1.5851419145982397, 53.85575685308494)"
"(-1.5852340609204882, 53.855745492519794)"
"(-1.5851676298509603, 53.85569500111912)"
"(-1.578910015605846, 53.855798508490494)"
"(-1.5789378737962934, 53.85532893846428)"
"(-1.5873192180229507, 53.856506663755106)"
"(-1.5915045327919628, 53.858128713371805)"
"(-1.6760060941519352, 53.84946555771049)"
"(-1.6798678253242139, 53.851385519961376)"
"(-1.6790727167332313, 53.85112044010787)"
"(-1.6825551479278822, 53.85274627657962)"
